Name,OS,Price,Specs,91 mobiles rating
OnePlus 11R,"Android v13, upgradable to v14","Rs.30,740","Octa core (3.2 GHz, Single Core + 2.75 GHz, Tri core + 2 GHz, Quad core)
Snapdragon 8 Plus Gen 1
8 GB RAM

6.74 inches (17.12 cm)
FHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
16 MP Front Camera

5000 mAh
Super VOOC Charging
USB Type-C Port",90%
OnePlus Nord 3 5G,Android v13,"Rs.28,999","Octa core (3.05 GHz, Single Core + 2.85 GHz, Tri core + 1.8 GHz, Quad core)
MediaTek Dimensity 9000
8 GB RAM

6.74 inches (17.12 cm)
FHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",88%
OnePlus Nord CE 4 5G 256GB,Android v14,"Rs.26,999","Octa core (2.63 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 7 Gen 3
8 GB RAM

6.7 inches (17.02 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP Dual Primary Cameras
Dual LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",86%
OnePlus 12R 256GB,Android v14,"Rs.45,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
16 GB RAM

6.78 inches (17.22 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",93%
OnePlus 11,"Android v13, upgradable to v14","Rs.45,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
8 GB RAM

6.7 inches (17.02 cm)
QHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 48 MP + 32 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",94%
OnePlus Open,"Android v13, upgradable to v14","Rs.139,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
16 GB RAM

7.82 inches (19.86 cm)
2268x2440 px, LTPO Flexi-fluid AMOLED
120 Hz Refresh Rate

48 MP + 48 MP + 64 MP Triple Primary Cameras
LED Flash
Screen flash

4805 mAh
Super VOOC Charging
USB Type-C Port",94%
OnePlus Nord 2T 5G,"Android v12, upgradable to v14","Rs.28,999","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)
MediaTek Dimensity 1300
8 GB RAM

6.43 inches (16.33 cm)
FHD+, AMOLED
90 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
Dual LED Flash
32 MP Front Camera

4500 mAh
Super VOOC Charging
USB Type-C Port",86%
OnePlus Nord CE 2 Lite 5G,"Android v12, upgradable to v14","Rs.16,296","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)
Snapdragon 695
6 GB RAM

6.59 inches (16.74 cm)
FHD+, IPS LCD
120 Hz Refresh Rate

64 MP + 2 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",81%
OnePlus Nord CE 3 Lite 5G 256GB,"Android v13, upgradable to v14","Rs.19,499","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)
Snapdragon 695
8 GB RAM

6.72 inches (17.07 cm)
FHD+, IPS LCD
120 Hz Refresh Rate

108 MP + 2 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",81%
OnePlus Nord CE 3 5G 256GB,Android v13,"Rs.27,999","Octa core (2.7 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)
Snapdragon 782G
12 GB RAM

6.7 inches (17.02 cm)
FHD+, Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",87%
OnePlus 10 Pro,"Android v12, upgradable to v14","Rs.66,999","Octa core (3 GHz, Single Core + 2.5 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 8 Gen 1
8 GB RAM

6.7 inches (17.02 cm)
QHD+, Fluid AMOLED
120 Hz Refresh Rate

48 MP + 50 MP + 8 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",93%
OnePlus 10R 5G,"Android v12, upgradable to v14","Rs.34,999","Octa core (2.85 GHz, Quad Core + 2 GHz, Quad core)
MediaTek Dimensity 8100 Max
8 GB RAM

6.7 inches (17.02 cm)
FHD+, Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
Dual LED Flash
16 MP Front Camera

5000 mAh
Super VOOC Charging
USB Type-C Port",84%
OnePlus 9R,"Android v11, upgradable to v14","Rs.30,999","Octa core (3.2 GHz, Single Core + 2.42 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 870
8 GB RAM

6.55 inches (16.64 cm)
FHD+, Fluid AMOLED
120 Hz Refresh Rate

48 + 16 + 5 + 2 MP Quad Primary Cameras
Dual LED Flash
Screen flash

4500 mAh
Warp Charging
USB Type-C Port",88%
OnePlus 12 512GB,Android v14,"Rs.69,998","Octa core (3.3 GHz, Single Core + 3.2 GHz, Penta Core + 2.3 GHz, Dual core)
Snapdragon 8 Gen 3
16 GB RAM

6.82 inches (17.32 cm)
QHD+, AMOLED
120 Hz Refresh Rate

50 MP + 48 MP + 64 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5400 mAh
Super VOOC Charging
USB Type-C Port",97%
OnePlus Nord CE 2 5G,"Android v11, upgradable to v12","Rs.23,990","Octa core (2.4 GHz, Dual Core + 2 GHz, Hexa Core)
MediaTek Dimensity 900
6 GB RAM

6.43 inches (16.33 cm)
FHD+, Fluid AMOLED
90 Hz Refresh Rate

64 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

4500 mAh
Super VOOC Charging
USB Type-C Port",84%
OnePlus Nord CE 4 5G,Android v14,"Rs.24,998","Octa core (2.63 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 7 Gen 3
8 GB RAM

6.7 inches (17.02 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP Dual Primary Cameras
Dual LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",86%
OnePlus 12R,Android v14,"Rs.39,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
8 GB RAM

6.78 inches (17.22 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",93%
OnePlus Nord CE 3 Lite 5G,"Android v13, upgradable to v14","Rs.17,499","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)
Snapdragon 695
8 GB RAM

6.72 inches (17.07 cm)
FHD+, IPS LCD
120 Hz Refresh Rate

108 MP + 2 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",81%
OnePlus 12,Android v14,"Rs.64,999","Octa core (3.3 GHz, Single Core + 3.2 GHz, Penta Core + 2.3 GHz, Dual core)
Snapdragon 8 Gen 3
12 GB RAM

6.82 inches (17.32 cm)
QHD+, AMOLED
120 Hz Refresh Rate

50 MP + 48 MP + 64 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5400 mAh
Super VOOC Charging
USB Type-C Port",97%
OnePlus Nord CE 3 5G,Android v13,"Rs.20,999","Octa core (2.7 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)
Snapdragon 782G
8 GB RAM

6.7 inches (17.02 cm)
FHD+, Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",87%
OnePlus 11R,"Android v13, upgradable to v14","Rs.30,740","Octa core (3.2 GHz, Single Core + 2.75 GHz, Tri core + 2 GHz, Quad core)
Snapdragon 8 Plus Gen 1
8 GB RAM

6.74 inches (17.12 cm)
FHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
16 MP Front Camera

5000 mAh
Super VOOC Charging
USB Type-C Port",90%
OnePlus Nord 3 5G,Android v13,"Rs.28,999","Octa core (3.05 GHz, Single Core + 2.85 GHz, Tri core + 1.8 GHz, Quad core)
MediaTek Dimensity 9000
8 GB RAM

6.74 inches (17.12 cm)
FHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",88%
OnePlus Nord CE 4 5G 256GB,Android v14,"Rs.26,999","Octa core (2.63 GHz, Single Core + 2.4 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 7 Gen 3
8 GB RAM

6.7 inches (17.02 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP Dual Primary Cameras
Dual LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",86%
OnePlus 12R 256GB,Android v14,"Rs.45,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
16 GB RAM

6.78 inches (17.22 cm)
FHD+, AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5500 mAh
Super VOOC Charging
USB Type-C Port",93%
OnePlus 11,"Android v13, upgradable to v14","Rs.45,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
8 GB RAM

6.7 inches (17.02 cm)
QHD+, Super Fluid AMOLED
120 Hz Refresh Rate

50 MP + 48 MP + 32 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",94%
OnePlus Open,"Android v13, upgradable to v14","Rs.139,999","Octa core (3.2 GHz, Single Core + 2.8 GHz, Quad core + 2 GHz, Tri core)
Snapdragon 8 Gen 2
16 GB RAM

7.82 inches (19.86 cm)
2268x2440 px, LTPO Flexi-fluid AMOLED
120 Hz Refresh Rate

48 MP + 48 MP + 64 MP Triple Primary Cameras
LED Flash
Screen flash

4805 mAh
Super VOOC Charging
USB Type-C Port",94%
OnePlus Nord 2T 5G,"Android v12, upgradable to v14","Rs.28,999","Octa core (3 GHz, Single Core + 2.6 GHz, Tri core + 2 GHz, Quad core)
MediaTek Dimensity 1300
8 GB RAM

6.43 inches (16.33 cm)
FHD+, AMOLED
90 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
Dual LED Flash
32 MP Front Camera

4500 mAh
Super VOOC Charging
USB Type-C Port",86%
OnePlus Nord CE 2 Lite 5G,"Android v12, upgradable to v14","Rs.16,296","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)
Snapdragon 695
6 GB RAM

6.59 inches (16.74 cm)
FHD+, IPS LCD
120 Hz Refresh Rate

64 MP + 2 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",81%
OnePlus Nord CE 3 Lite 5G 256GB,"Android v13, upgradable to v14","Rs.19,499","Octa core (2.2 GHz, Dual Core + 1.7 GHz, Hexa Core)
Snapdragon 695
8 GB RAM

6.72 inches (17.07 cm)
FHD+, IPS LCD
120 Hz Refresh Rate

108 MP + 2 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",81%
OnePlus Nord CE 3 5G 256GB,Android v13,"Rs.27,999","Octa core (2.7 GHz, Single Core + 2.2 GHz, Tri core + 1.9 GHz, Quad core)
Snapdragon 782G
12 GB RAM

6.7 inches (17.02 cm)
FHD+, Fluid AMOLED
120 Hz Refresh Rate

50 MP + 8 MP + 2 MP Triple Primary Cameras
LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",87%
OnePlus 10 Pro,"Android v12, upgradable to v14","Rs.66,999","Octa core (3 GHz, Single Core + 2.5 GHz, Tri core + 1.8 GHz, Quad core)
Snapdragon 8 Gen 1
8 GB RAM

6.7 inches (17.02 cm)
QHD+, Fluid AMOLED
120 Hz Refresh Rate

48 MP + 50 MP + 8 MP Triple Primary Cameras
Dual LED Flash
Screen flash

5000 mAh
Super VOOC Charging
USB Type-C Port",93%
